bodyDrift,colorShift,condition,error,id,image,latency,ok,pass,reasons,skinGain,structureChange,verdict
0.069,2.812,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_10749_00.jpg,,viton_10749_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-021643/baseline/viton_10749_00_slightly_tight.png,23.86,True,baseline,,-0.001,12.637,slightly_tight
0.199,4.076,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_10749_00.jpg,,viton_10749_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-021643/baseline/viton_10749_00_tight.png,10.3,True,baseline,,-0.0011,10.459,tight
0.04,2.274,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_10749_00.jpg,,viton_10749_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-021643/lora/viton_10749_00_slightly_tight.png,15.84,True,lora,,-0.0002,11.9,slightly_tight
0.18,2.026,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_10749_00.jpg,,viton_10749_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-021643/lora/viton_10749_00_tight.png,10.04,True,lora,,-0.0016,9.305,tight
